leksem	broj.slova	frek	k.N	k.M	k.C	k.STD	k.MIN	k.MAX	d.N	d.M	d.C	d.STD	d.MIN	d.MAX	p.N	p.M	p.C	p.STD	p.MIN	p.MAX	č.N	č.M	č.C	č.STD	č.MIN	č.MAX
razmisliti	4	55285	31	2.58064516129	2.0	1.38597103606	1	5	29	5.79310344828	5.0	2.04061029317	3	12	30	3.83333333333	4.0	1.26710518725	1	5	31	4.70967741935	5.0	0.453911202564	4	5
sezati	4	10655	31	3.12903225806	3.0	1.33783492602	1	5	29	10.2068965517	10.0	3.84509818129	4	17	30	3.16666666667	3.0	1.34370962472	1	5	31	2.64516129032	3.0	1.03326563729	1	5
ribnjak	4	5755	31	4.77419354839	5.0	0.749609679911	1	5	29	8.89655172414	5.0	15.2685044942	3	89	30	4.86666666667	5.0	0.426874949162	3	5	31	2.51612903226	3.0	0.875139352661	1	4
dostupnost	4	15564	31	2.45161290323	3.0	1.18699158019	1	5	29	9.48275862069	9.0	3.28655242964	6	17	30	3.0	3.0	1.43759057686	1	5	31	3.35483870968	3.0	1.06402725822	1	5
stagnirati	4	5157	31	2.64516129032	2.0	1.28385475756	1	5	29	12.1034482759	12.0	3.58488039127	1	18	30	2.76666666667	2.5	1.22972444971	1	5	31	2.51612903226	3.0	1.13225346934	1	5
terorizirati	4	3086	31	3.0	3.0	1.21814242506	1	5	29	10.2068965517	11.0	3.42787066051	2	15	30	3.76666666667	4.0	1.20231258646	1	5	31	3.16129032258	3.0	0.883423479847	2	5
uspjeti	4	404910	31	2.61290322581	2.0	1.31191609082	1	5	29	6.27586206897	5.0	2.46207862453	3	13	30	3.76666666667	4.0	1.43022919686	1	5	31	4.1935483871	4.0	0.930464845281	1	5
deformacija	4	6016	31	4.03225806452	4.0	1.06206952472	2	5	29	9.62068965517	10.0	2.99900895244	3	16	30	4.3	5.0	1.1	1	5	31	2.90322580645	3.0	1.22750307035	1	5
stisnuti	4	25139	31	4.32258064516	5.0	0.929345825219	1	5	29	5.13793103448	5.0	2.0798563931	3	10	30	4.33333333333	5.0	0.977525219908	1	5	31	4.09677419355	4.0	0.7768770696	2	5
bosti	4	14856	31	4.35483870968	5.0	0.89976294716	1	5	29	6.79310344828	6.0	3.10038162662	3	16	30	4.33333333333	5.0	0.829993306533	2	5	31	3.0	3.0	1.21814242506	1	5
sinji	4	3059	31	2.1935483871	2.0	1.22919734731	1	5	27	13.0740740741	13.0	4.12692985991	6	20	30	2.13333333333	2.0	1.28409068562	1	5	31	1.45161290323	1.0	0.755141929724	1	4
antioksidans	4	7646	31	3.1935483871	3.0	1.4462265659	1	5	29	13.4482758621	13.0	2.23739699276	9	19	29	2.55172413793	3.0	1.30215224748	1	5	31	2.1935483871	2.0	1.14777076611	1	5
nacionalan	4	263522	31	2.70967741935	3.0	1.1965959349	1	5	29	10.5517241379	10.0	2.54051592502	5	16	30	2.96666666667	3.0	1.35359603362	1	5	31	3.0	3.0	1.016001016	1	5
zapis	4	44327	31	4.77419354839	5.0	0.489217770584	3	5	29	7.89655172414	7.0	2.61751168474	3	15	30	4.36666666667	5.0	0.91226214556	2	5	31	3.8064516129	4.0	0.964510734692	2	5
loš	4	380756	31	2.90322580645	3.0	1.57305617293	1	5	29	4.10344827586	4.0	1.74878928732	2	10	30	4.06666666667	5.0	1.31487219489	1	5	31	4.25806451613	5.0	1.04627578969	1	5
poluprazan	4	3108	31	3.90322580645	4.0	1.17376809024	1	5	29	6.34482758621	6.0	2.03886144815	3	10	30	4.53333333333	5.0	0.884433277428	2	5	31	3.06451612903	3.0	1.13409005363	0	5
dobni	4	11965	31	2.29032258065	2.0	1.24934946652	1	5	29	9.03448275862	8.0	2.9534638766	3	15	30	2.36666666667	2.0	1.37800177391	1	5	31	2.58064516129	3.0	1.26425277047	1	5
upraviti	4	4559	31	2.38709677419	2.0	1.20956988769	1	5	29	10.9655172414	10.0	4.24656257436	4	25	30	2.36666666667	2.0	1.30341431973	1	5	31	2.25806451613	2.0	1.10622117416	1	5
kvadrat	4	36394	31	4.54838709677	5.0	0.910111998688	1	5	28	6.96428571429	7.0	2.55625483384	2	15	30	4.86666666667	5.0	0.561743318212	2	5	31	3.48387096774	4.0	1.18786791223	1	5
presedan	4	7786	31	2.45161290323	2.0	1.07279284828	1	5	27	13.7777777778	13.0	3.57287448685	5	20	30	2.16666666667	2.0	1.36829171678	1	5	31	2.0	2.0	0.983738753676	1	4
zapremnina	4	1434	31	3.29032258065	3.0	1.41862151144	0	5	28	12.6785714286	13.0	2.9405243875	6	20	29	2.68965517241	3.0	1.46460417804	1	5	31	2.12903225806	2.0	0.832483090359	1	4
kalkulirati	4	4400	31	2.8064516129	3.0	1.42374687037	1	5	29	10.7931034483	12.0	2.68301567778	5	15	30	3.1	3.0	1.3503086067	1	5	31	3.22580645161	3.0	1.0382888348	1	5
posvađati	4	9734	31	3.61290322581	4.0	1.28709273182	1	5	29	5.62068965517	5.0	2.69627831756	2	16	30	4.3	5.0	1.12989675045	1	5	31	3.96774193548	4.0	0.999479573215	1	5
alkoholni	4	11422	31	4.09677419355	4.0	0.96235057356	2	5	29	8.79310344828	8.0	3.20967621468	4	17	30	3.9	4.5	1.32539302347	1	5	31	3.64516129032	4.0	1.09392419083	1	5
prerada	4	18759	31	3.64516129032	4.0	1.00155965782	2	5	29	9.58620689655	10.0	2.63291160949	5	18	30	3.46666666667	4.0	1.33499895963	1	5	31	2.8064516129	3.0	0.895124962936	1	5
proziran	4	14290	31	4.06451612903	4.0	1.16218603449	1	5	29	5.96551724138	5.0	2.89449845123	3	19	30	4.7	5.0	0.82259751195	1	5	31	3.70967741935	4.0	0.922603202973	1	5
dodati	4	262166	31	4.1935483871	4.0	0.997395150564	1	5	29	5.44827586207	4.0	3.19035407068	3	18	30	4.26666666667	5.0	1.06249183003	2	5	31	4.51612903226	5.0	0.712603936593	2	5
proizvoditi	4	93037	31	4.16129032258	4.0	0.766086586261	2	5	29	7.51724137931	7.0	2.47219976951	4	17	30	4.36666666667	5.0	0.87496031656	2	5	31	3.74193548387	4.0	1.01497630468	1	5
izbaviti	4	3056	31	3.03225806452	3.0	1.20439707759	0	5	29	8.55172413793	8.0	2.85978305057	3	16	30	3.66666666667	4.0	1.22020034785	1	5	31	2.61290322581	3.0	1.00570692052	1	5
prosuđivati	4	3447	31	2.48387096774	2.0	1.26671960749	1	5	29	9.65517241379	9.0	2.78265393129	3	15	29	3.13793103448	3.0	1.40747114703	1	5	31	2.83870967742	3.0	1.05024649007	1	5
general	4	96640	31	4.41935483871	5.0	0.942686399755	1	5	29	8.65517241379	9.0	2.39648970399	4	14	30	4.9	5.0	0.3	4	5	31	2.29032258065	2.0	0.810955167095	1	4
aktualizirati	4	3353	31	2.38709677419	2.0	1.06793195853	1	5	29	12.6896551724	13.0	2.57445606275	8	20	30	2.7	2.5	1.39403491109	1	5	31	2.8064516129	3.0	0.997395150564	1	5
reproduktivan	4	5152	31	2.90322580645	3.0	1.25350704695	1	5	29	11.7931034483	12.0	2.53770613696	7	16	30	3.36666666667	3.5	1.49406232207	1	5	31	2.74193548387	3.0	0.949286385133	1	5
vlas	4	7951	31	4.8064516129	5.0	0.533965979266	3	5	29	6.27586206897	6.0	2.33262545176	3	11	30	4.9	5.0	0.395811402901	3	5	31	3.51612903226	3.0	1.04328784702	2	5
oblačiti	4	11191	31	4.51612903226	5.0	0.875139352661	1	5	29	4.41379310345	4.0	1.95672564953	2	10	30	4.86666666667	5.0	0.426874949162	3	5	31	4.54838709677	5.0	0.910111998688	1	5
provincijski	4	3580	31	2.93548387097	3.0	1.13409005363	1	5	29	11.6551724138	12.0	1.97004922167	8	15	30	3.16666666667	3.0	1.12792828771	1	5	31	2.03225806452	2.0	1.06206952472	0	5
pristojba	4	11862	31	3.29032258065	4.0	1.46339306093	1	5	28	12.6428571429	13.0	3.20952027695	6	19	30	2.33333333333	2.0	1.22020034785	1	5	31	2.32258064516	2.0	1.05912613931	1	5
prilazni	4	3091	31	2.83870967742	3.0	1.01906896767	1	5	28	9.64285714286	9.5	3.47659814961	4	16	30	2.73333333333	3.0	1.41264134003	1	5	31	2.45161290323	2.0	1.07279284828	1	5
odložiti	4	5399	31	3.96774193548	4.0	1.14958256008	1	5	29	6.89655172414	7.0	2.42607711715	3	13	30	4.23333333333	5.0	1.11604460285	2	5	31	4.0	4.0	1.016001016	1	5
odnositi	4	156744	31	3.06451612903	3.0	1.43539325557	1	5	29	6.86206896552	7.0	2.34482758621	3	11	30	3.4	3.0	1.3316656237	1	5	31	3.93548387097	4.0	0.981620906755	2	5
udružiti	4	10292	31	3.25806451613	3.0	1.1630810566	1	5	29	8.06896551724	8.0	2.97032489205	4	15	30	3.73333333333	4.0	1.3646326327	1	5	31	3.16129032258	3.0	0.883423479847	2	5
osnova	4	154315	31	3.0	3.0	1.27000127	1	5	29	7.65517241379	7.0	2.30854278666	3	14	30	2.8	2.0	1.37598449604	1	5	31	3.70967741935	4.0	0.990065113111	1	5
taktički	4	9266	31	2.41935483871	2.0	1.07085114017	1	5	29	11.0344827586	11.0	3.18923575994	4	19	30	2.96666666667	3.0	1.37800177391	1	5	31	3.16129032258	3.0	0.919213345082	1	5
nerazumljiv	4	5879	31	2.74193548387	3.0	1.45840703941	0	5	29	7.65517241379	7.0	2.79501850057	3	18	30	3.53333333333	4.0	1.45449494862	1	5	31	3.54838709677	4.0	1.24015372818	0	5
porta	4	3092	31	4.54838709677	5.0	0.944891517153	1	5	29	9.03448275862	8.0	2.79756986441	6	16	30	4.7	5.0	0.690410505907	2	5	31	3.09677419355	3.0	1.27898242591	1	5
ekstrem	4	4325	31	2.48387096774	2.0	1.38822159944	1	5	29	11.1724137931	11.0	3.30171288375	5	18	29	3.20689655172	3.0	1.49434128828	1	5	31	3.12903225806	3.0	0.87037016537	1	5
laprdati	4	4495	31	3.0	3.0	1.39121668728	1	5	29	8.10344827586	7.0	3.70781865035	2	19	30	3.93333333333	4.5	1.31487219489	1	5	31	3.06451612903	3.0	1.18961863965	1	5
domoljublje	4	8721	31	2.67741935484	2.0	1.59408375492	1	5	29	9.10344827586	9.0	2.26433864267	5	15	30	3.8	4.0	1.37598449604	1	5	31	2.96774193548	3.0	1.23088929215	1	5
odlučiti	4	390135	31	2.87096774194	3.0	1.40831483567	1	5	29	6.06896551724	5.0	2.08328378855	3	10	30	3.53333333333	4.0	1.35973853696	1	5	31	4.35483870968	5.0	1.00155965782	1	5
pandemija	4	3454	31	3.1935483871	3.0	1.30555524805	1	5	24	13.5833333333	14.0	3.66192875712	5	20	29	2.27586206897	2.0	1.25661152816	1	5	31	1.8064516129	2.0	0.930464845281	1	5
pametan	4	136445	31	3.06451612903	3.0	1.60514261995	1	5	30	4.6	4.5	1.56204993518	2	9	30	4.13333333333	5.0	1.11753697428	1	5	31	4.61290322581	5.0	0.605214936751	3	5
prekršiti	4	11645	31	2.90322580645	3.0	1.32846840529	1	5	30	6.06666666667	6.0	2.18987569409	2	13	30	3.7	4.0	1.39403491109	1	5	31	3.51612903226	4.0	1.0118959446	1	5
analogan	4	11241	31	2.03225806452	2.0	1.06206952472	1	5	29	12.1724137931	12.0	3.7145470371	5	20	30	2.76666666667	2.5	1.43022919686	1	5	31	1.8064516129	2.0	0.779551353135	1	4
stečajni	4	23043	31	2.25806451613	2.0	0.982680400757	1	4	29	13.2068965517	13.0	2.73394133006	7	18	30	2.26666666667	2.0	1.26315302143	1	5	31	2.1935483871	2.0	1.09011259669	1	5
glavnica	4	5041	31	3.1935483871	3.0	1.37768751639	1	5	29	13.2413793103	13.0	2.77495166051	8	20	30	2.8	3.0	1.27540843131	1	5	31	1.87096774194	2.0	0.750996563021	1	3
stožerni	4	3029	31	2.41935483871	2.0	1.00880617878	1	5	30	12.7333333333	13.0	3.10841152717	6	20	30	2.63333333333	3.0	1.0482790129	1	5	31	1.64516129032	2.0	0.697848633961	1	3
ponijeti	4	34478	31	3.96774193548	4.0	0.96666606863	1	5	30	5.96666666667	5.5	2.27278585783	3	13	30	4.16666666667	4.5	1.00277393043	2	5	31	4.38709677419	5.0	0.867975744972	2	5
odijelo	4	24720	31	4.96774193548	5.0	0.176684695969	4	5	30	6.63333333333	6.0	2.52300526269	3	14	30	4.83333333333	5.0	0.734090518185	1	5	31	3.61290322581	4.0	1.00570692052	1	5
hormonalan	4	5343	31	2.8064516129	3.0	1.20266786337	1	5	30	12.0666666667	12.0	2.42120263964	8	17	30	2.53333333333	3.0	1.14697670227	1	5	31	2.70967741935	3.0	0.956928837045	1	4
nezamjenjiv	4	6289	31	2.58064516129	3.0	1.12949299355	1	5	30	8.2	8.0	2.22710574513	4	12	30	3.1	3.0	1.44568322948	1	5	31	3.45161290323	4.0	0.978435541168	1	5
hitan	4	67541	31	3.1935483871	3.0	1.42374687037	0	5	30	6.5	6.0	2.09364116633	3	11	30	3.76666666667	4.0	1.33374993492	1	5	31	3.96774193548	4.0	0.739828705883	3	5
alkoholizam	4	6610	31	4.0	4.0	1.04726987618	2	5	30	10.0	10.0	2.50333111407	6	15	30	4.23333333333	5.0	0.989388138644	2	5	31	3.16129032258	3.0	1.19398422731	1	5
promisliti	4	10336	31	2.67741935484	3.0	1.14686379578	1	5	30	8.2	7.5	2.71293199325	3	16	30	3.4	3.0	1.28062484749	1	5	31	4.16129032258	4.0	0.766086586261	2	5
računalni	4	29417	31	3.67741935484	4.0	0.963431259553	2	5	30	8.86666666667	9.0	2.53946626063	5	14	30	4.0	4.5	1.18321595662	1	5	31	3.41935483871	4.0	1.12949299355	1	5
pakt	4	7665	31	3.12903225806	3.0	1.33783492602	1	5	30	11.1666666667	11.0	2.14605581371	6	15	30	3.56666666667	4.0	1.11604460285	2	5	31	2.09677419355	2.0	1.08820179312	1	5
prepucavati	4	3812	31	2.83870967742	3.0	1.16665427871	1	5	30	8.33333333333	8.0	2.74873708375	4	15	30	3.73333333333	4.0	1.28927197372	1	5	31	2.96774193548	3.0	0.897446951177	1	4
letenje	4	8892	31	4.64516129032	5.0	0.863166978081	1	5	30	4.76666666667	5.0	1.6265163865	2	8	30	4.7	5.0	0.690410505907	2	5	31	3.32258064516	3.0	1.17465428749	1	5
bronca	4	13396	31	4.77419354839	5.0	0.489217770584	3	5	30	7.6	7.0	2.2	5	12	30	4.66666666667	5.0	0.829993306533	1	5	31	2.67741935484	3.0	1.25433690937	1	5
neutemeljen	4	6216	31	2.58064516129	2.0	1.18523697231	1	5	30	10.5333333333	10.0	2.18682926225	7	16	30	2.53333333333	2.5	1.17567947257	1	5	31	3.0	3.0	0.950381926623	1	5
dokaz	4	158854	31	3.70967741935	4.0	1.32454613985	1	5	30	8.16666666667	8.0	2.01797478236	5	13	30	4.13333333333	5.0	1.20369800568	1	5	31	3.61290322581	3.0	1.03728614134	2	5
parirati	4	6859	31	2.38709677419	2.0	0.939369017972	1	4	30	11.8333333333	12.0	3.90796906618	4	19	30	3.0	3.0	1.39044357431	1	5	31	2.06451612903	2.0	1.01395055777	1	4
krpati	4	3554	31	3.90322580645	4.0	1.02720537601	2	5	30	7.63333333333	7.0	2.28740512857	4	12	30	4.23333333333	4.0	0.803464719546	3	5	31	2.93548387097	3.0	1.04528075781	1	5
dugotrajan	4	36447	31	3.22580645161	3.0	1.2879009534	1	5	30	8.96666666667	8.5	2.10528435662	5	15	30	3.16666666667	3.0	1.21335164821	1	5	31	3.51612903226	4.0	1.0118959446	1	5
obramben	4	28483	31	3.03225806452	3.0	1.17730887683	1	5	30	9.3	9.0	2.11581347634	6	15	30	3.5	3.5	1.0246950766	2	5	31	2.96774193548	3.0	1.0312495073	1	5
stereo	4	5010	31	3.8064516129	4.0	1.37768751639	1	5	30	9.56666666667	10.0	2.83646885327	3	15	30	4.1	5.0	1.22065556157	1	5	31	2.29032258065	2.0	1.1965959349	1	5
kockica	4	15298	31	4.87096774194	5.0	0.420593703561	3	5	30	4.36666666667	4.0	2.42876283093	2	15	30	5.0	5.0	0.0	5	5	31	3.48387096774	4.0	1.41126728092	0	5
starački	4	5846	31	3.74193548387	4.0	1.04627578969	1	5	30	6.9	6.0	3.15541861988	3	19	30	4.6	5.0	0.663324958071	3	5	31	3.35483870968	3.0	1.15139150307	1	5
