leksem	vrsta_riječi	rod	živost	broj_slova	frek	konkretnost.N	konkretnost.M	konkretnost.C	konkretnost.STD	konkretnost.MIN	konkretnost.MAX	k.N.m	k.M.m	k.C.m	k.STD.m	k.N.ž	k.M.ž	k.C.ž	k.STD.ž	subjektivna_čestoća.N	subjektivna_čestoća.M	subjektivna_čestoća.C	subjektivna_čestoća.STD	subjektivna_čestoća.MIN	subjektivna_čestoća.MAX	č.N.m	č.M.m	č.C.m	č.STD.m	č.N.ž	č.M.ž	č.C.ž	č.STD.ž	predočivost.N	predočivost.M	predočivost.C	predočivost.STD	predočivost.MIN	predočivost.MAX	p.N.m	p.M.m	p.C.m	p.STD.m	p.N.ž	p.M.ž	p.C.ž	p.STD.ž	d.N	dob_usvajanja.M	dob_usvajanja.C	dob_usvajanja.STD	dob_usvajanja.MIN	dob_usvajanja.MAX	d.N.m	d.M.m	d.C.m	d.STD.m	d.N.ž	d.M.ž	d.C.ž	d.STD.ž
razmisliti	glagol			10	55285	31	2.58064516129	2.0	1.38597103606	1	5	6	3.33333333333	3.5	1.10554159679	25	2.4	2.0	1.38564064606	31	4.70967741935	5.0	0.453911202564	4	5	6	4.33333333333	4.0	0.471404520791	25	4.8	5.0	0.4	30	3.83333333333	4.0	1.26710518725	1	5	10	3.9	5.0	1.44568322948	19	3.73684210526	4.0	1.16266958076	29	5.79310344828	5.0	2.04061029317	3	12	10	6.1	5.5	2.54754784057	18	5.66666666667	5.0	1.73205080757
sezati	glagol			6	10655	31	3.12903225806	3.0	1.33783492602	1	5	6	3.66666666667	4.0	0.471404520791	25	3.0	3.0	1.44222051019	31	2.64516129032	3.0	1.03326563729	1	5	6	3.0	3.0	1.0	25	2.56	2.0	1.0229369482	30	3.16666666667	3.0	1.34370962472	1	5	10	3.4	3.5	1.42828568571	19	2.94736842105	3.0	1.2343199368	29	10.2068965517	10.0	3.84509818129	4	17	10	11.5	12.0	4.03112887415	18	9.66666666667	9.0	3.60555127546
ribnjak	imenica	m	n	7	5755	31	4.77419354839	5.0	0.749609679911	1	5	6	4.66666666667	5.0	0.471404520791	25	4.8	5.0	0.8	31	2.51612903226	3.0	0.875139352661	1	4	6	2.5	2.5	0.957427107756	25	2.52	3.0	0.854166260163	30	4.86666666667	5.0	0.426874949162	3	5	10	4.8	5.0	0.4	19	4.89473684211	5.0	0.446593756539	29	6.10344827586	5.0	2.02305381295	3	11	10	7.0	6.0	2.2803508502	18	5.66666666667	5.0	1.73205080757
dostupnost	imenica	f	n	10	15564	31	2.45161290323	3.0	1.18699158019	1	5	6	3.16666666667	3.0	0.687184270936	25	2.28	2.0	1.21720992438	31	3.35483870968	3.0	1.06402725822	1	5	6	2.66666666667	2.5	0.7453559925	25	3.52	4.0	1.06282642045	30	3.0	3.0	1.43759057686	1	5	10	3.0	3.0	1.54919333848	19	2.89473684211	2.0	1.33356415361	29	9.48275862069	9.0	3.28655242964	6	17	10	9.8	10.0	2.89136645896	18	9.33333333333	8.0	3.55902608401
stagnirati	glagol			10	5157	31	2.64516129032	2.0	1.28385475756	1	5	6	3.16666666667	3.5	1.34370962472	25	2.52	2.0	1.2367699867	31	2.51612903226	3.0	1.13225346934	1	5	6	2.0	2.0	0.816496580928	25	2.64	3.0	1.16206712371	30	2.76666666667	2.5	1.22972444971	1	5	10	2.7	2.0	1.26885775404	19	2.73684210526	3.0	1.20708894118	29	12.1034482759	12.0	3.58488039127	1	18	10	12.2	13.0	2.78567765544	18	12.0	12.0	4.04145188433
terorizirati	glagol			12	3086	31	3.0	3.0	1.21814242506	1	5	6	3.33333333333	3.5	1.24721912892	25	2.92	3.0	1.19733036377	31	3.16129032258	3.0	0.883423479847	2	5	6	2.83333333333	3.0	0.37267799625	25	3.24	3.0	0.949947366963	30	3.76666666667	4.0	1.20231258646	1	5	10	3.6	4.0	1.28062484749	19	3.78947368421	4.0	1.15069532153	29	10.2068965517	11.0	3.42787066051	2	15	10	10.7	10.5	2.49198715888	18	9.77777777778	10.0	3.83775911982
uspjeti	glagol			7	404910	31	2.61290322581	2.0	1.31191609082	1	5	6	3.16666666667	3.5	1.34370962472	25	2.48	2.0	1.26870012217	31	4.1935483871	4.0	0.930464845281	1	5	6	3.66666666667	3.5	1.10554159679	25	4.32	4.0	0.835224520713	30	3.76666666667	4.0	1.43022919686	1	5	10	3.6	4.0	1.42828568571	19	3.78947368421	4.0	1.43559807337	29	6.27586206897	5.0	2.46207862453	3	13	10	7.5	7.0	2.57875939165	18	5.66666666667	5.0	2.18581284143
deformacija	imenica	f	n	11	6016	31	4.03225806452	4.0	1.06206952472	2	5	6	3.5	3.5	1.25830573921	25	4.16	4.0	0.966643677888	31	2.90322580645	3.0	1.22750307035	1	5	6	3.16666666667	3.0	1.06718737291	25	2.84	3.0	1.25475097131	30	4.3	5.0	1.1	1	5	10	4.4	5.0	0.8	19	4.21052631579	5.0	1.23880024168	29	9.62068965517	10.0	2.99900895244	3	16	10	10.2	10.0	1.93907194297	18	9.27777777778	9.5	3.4769967174
stisnuti	glagol			8	25139	31	4.32258064516	5.0	0.929345825219	1	5	6	4.5	4.5	0.5	25	4.28	5.0	1.00079968026	31	4.09677419355	4.0	0.7768770696	2	5	6	4.0	4.0	0.816496580928	25	4.12	4.0	0.765245058788	30	4.33333333333	5.0	0.977525219908	1	5	10	4.2	5.0	1.24899959968	19	4.36842105263	5.0	0.80854165767	29	5.13793103448	5.0	2.0798563931	3	10	10	6.3	6.0	2.2825424421	18	4.5	4.0	1.70782512766
bosti	glagol			5	14856	31	4.35483870968	5.0	0.89976294716	1	5	6	4.5	4.5	0.5	25	4.32	5.0	0.968297474953	31	3.0	3.0	1.21814242506	1	5	6	2.5	2.0	0.763762615826	25	3.12	3.0	1.27499019604	30	4.33333333333	5.0	0.829993306533	2	5	10	4.3	4.0	0.640312423743	19	4.31578947368	5.0	0.920676614976	29	6.79310344828	6.0	3.10038162662	3	16	10	7.3	7.0	2.64764045897	18	6.61111111111	5.5	3.3522610759
