leksem	vr	frek	03a.01.k	03a.01.č	03a.02.k	03a.02.č	03a.03.k	03a.03.č	03a.04.k	03a.04.č	03a.05.k	03a.05.č	03a.06.k	03a.06.č	03a.07.k	03a.07.č	03a.08.k	03a.08.č	03a.09.k	03a.09.č	03a.10.k	03a.10.č	03a.11.k	03a.11.č	03a.12.k	03a.12.č	03a.13.k	03a.13.č	03a.14.k	03a.14.č	03a.15.k	03a.15.č	03b.01.k	03b.01.č	03b.02.k	03b.02.č	03b.03.k	03b.03.č	03b.04.k	03b.04.č	03b.05.k	03b.05.č	03b.06.k	03b.06.č	03b.07.k	03b.07.č	03b.08.k	03b.08.č	03b.09.k	03b.09.č	03b.10.k	03b.10.č	03b.11.k	03b.11.č	03b.12.k	03b.12.č	03b.13.k	03b.13.č	03b.14.k	03b.14.č	03b.15.k	03b.15.č	03b.16.k	03b.16.č	03b.17.k	03b.17.č
policijski	P	108035	5	5	4	3	4	2	1	3	4	3	4	4	4	3	5	4	3	4	4	5	4	3	5	4	2	2	5	4	4	4	2	3	3	3	3	3	3	4	4	3	5	3	5	4	5	3	5	4	2	2	3	3	4	3	5	4	4	3	5	2	3	3	3	2
putnički	P	17076	5	4	2	4	4	5	2	4	5	2	4	4	4	4	4	3	3	4	4	5	4	4	5	4	4	4	4	3	4	3	2	3	3	5	4	4	3	4	4	4	5	4	5	4	5	4	5	4	2	4	3	3	4	3	5	4	4	3	5	2	3	2	3	2
ograničavati	G	12961	5	5	2	3	1	4	1	3	2	2	3	4	2	4	2	5	2	5	3	5	4	4	2	4	1	5	2	3	2	4	3	3	1	3	2	3	1	3	4	4	5	4	5	4	4	3	1	4	2	2	2	4	4	3	4	4	3	4	3	4	2	3	4	3
fobija	I	4561	1	5	4	3	1	3	3	3	2	1	3	3	1	3	2	3	2	4	4	4	3	3	1	3	2	2	2	3	1	2	2	3	1	2	2	3	2	4	3	3	5	4	5	4	5	3	1	3	3	2	2	4	5	3	3	4	3	4	1	3	2	3	4	3
novčić	I	5792	5	4	5	4	5	5	5	2	5	4	5	1	5	3	5	4	5	3	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5	4	5	4	5	2	5	5	5	5	5	5	5	5	5	2	5	5	5	3	5	4	5	4	5	4	5	1	5	1	5	3
ošišati	G	3541	5	3	3	2	5	2	3	3	5	4	5	3	5	3	5	5	4	4	0	4	4	2	5	4	5	4	5	4	3	4	5	4	4	4	4	4	5	4	4	4	5	5	5	3	5	4	5	4	5	3	3	4	5	3	5	4	5	3	5	4	5	3	4	4
rejting	I	18603	1	5	3	5	1	2	1	2	3	3	2	3	1	2	1	4	3	3	2	3	5	3	2	5	3	1	2	2	2	2	3	2	1	3	1	4	3	3	4	3	4	4	4	2	3	2	1	2	1	1	1	3	4	3	5	4	3	2	2	1	2	5	3	1
potrošnja	I	93072	1	3	3	3	3	4	1	3	3	4	2	3	1	3	3	5	3	4	4	5	1	4	2	5	3	2	1	4	1	2	4	3	1	4	4	4	1	5	4	4	5	5	5	3	5	3	1	4	1	2	3	4	5	4	4	3	3	2	1	2	5	5	3	4
brzinski	P	7412	5	0	4	4	2	5	1	3	5	4	3	4	2	3	1	5	2	0	4	4	3	4	3	4	1	1	1	4	2	3	3	3	2	4	3	4	1	5	4	4	4	3	5	5	3	4	2	4	2	2	1	4	5	5	5	4	3	4	2	5	2	5	3	5
lončar	I	3994	5	2	2	1	5	1	5	1	5	3	5	1	3	2	5	2	5	1	5	4	5	1	5	3	5	1	5	3	5	2	5	5	5	1	5	3	5	1	5	2	5	2	5	5	2	1	5	2	5	3	5	3	5	2	5	3	5	1	5	1	5	5	5	2
raditi	G	1685805	5	4	5	5	3	5	4	5	5	5	5	5	3	5	2	5	2	5	3	5	1	5	3	5	3	5	1	5	2	4	5	5	3	5	4	5	4	5	5	5	5	5	5	5	5	5	4	5	3	5	2	5	5	5	4	5	5	5	5	5	3	5	4	5
zatvoriti	G	62164	5	5	4	4	3	5	4	5	5	5	5	5	4	5	4	5	5	5	5	5	3	5	4	3	4	4	5	5	4	4	5	5	2	5	3	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	2	5	5	5	5	4	4	5	5	5	3	5	4	5
svakodnevan	P	87323	1	2	5	3	1	5	1	3	2	3	4	4	2	5	4	5	5	5	3	5	2	4	3	5	2	4	1	5	2	5	2	3	3	3	3	5	1	4	4	5	4	4	5	5	5	5	3	5	1	5	2	4	5	5	4	4	4	4	3	4	1	5	3	4
igrani	P	11951	0	1	2	4	2	3	1	2	2	2	3	3	1	4	2	4	3	3	4	4	3	2	2	4	1	3	1	4	4	2	3	3	2	1	3	4	1	4	4	4	3	3	1	4	3	2	4	4	1	3	1	3	4	2	3	2	4	3	2	4	1	2	3	2
preskočiti	G	20427	5	3	5	3	4	4	4	3	5	4	4	5	5	4	5	4	4	4	5	5	5	5	5	3	5	4	5	5	5	3	5	4	1	1	2	4	4	4	4	4	3	3	5	4	3	3	5	3	5	4	2	4	5	3	5	4	3	4	5	5	3	4	4	4
nominirati	G	3405	1	2	3	2	2	3	1	3	2	2	2	3	2	3	2	3	3	3	5	4	4	3	4	3	1	2	1	4	2	2	2	2	1	1	2	3	1	1	3	3	3	3	1	2	2	2	1	3	1	3	1	3	4	2	4	2	2	2	1	1	1	3	3	2
mirenje	I	8094	1	3	2	4	1	3	1	2	4	3	1	1	2	3	1	4	2	3	4	5	2	4	2	3	1	1	1	4	1	2	4	4	1	1	3	3	1	3	3	3	2	3	1	3	1	2	1	2	1	2	1	2	4	3	4	3	4	4	1	3	1	5	3	3
logistički	P	7079	0	4	2	3	1	1	1	1	2	3	3	1	2	3	1	4	2	4	3	2	2	2	2	2	1	1	1	3	1	1	3	3	1	1	1	3	1	1	4	3	4	3	1	2	1	1	3	2	1	1	1	4	4	2	4	2	3	1	1	1	2	5	2	1
