leksem	vr	frek	18a.01.k	18a.01.č	18a.02.k	18a.02.č	18a.03.k	18a.03.č	18a.04.k	18a.04.č	18a.05.k	18a.05.č	18a.06.k	18a.06.č	18a.07.k	18a.07.č	18a.08.k	18a.08.č	18a.09.k	18a.09.č	18a.10.k	18a.10.č	18a.11.k	18a.11.č	18a.12.k	18a.12.č	18a.13.k	18a.13.č	18a.14.k	18a.14.č	18a.15.k	18a.15.č	18b.01.k	18b.01.č	18b.02.k	18b.02.č	18b.03.k	18b.03.č	18b.04.k	18b.04.č	18b.05.k	18b.05.č	18b.06.k	18b.06.č	18b.07.k	18b.07.č	18b.08.k	18b.08.č	18b.09.k	18b.09.č	18b.10.k	18b.10.č	18b.11.k	18b.11.č	18b.12.k	18b.12.č	18b.13.k	18b.13.č	18b.14.k	18b.14.č	18b.15.k	18b.15.č	18b.16.k	18b.16.č
namjera	I	110626	1	4	3	4	4	4	2	5	1	3	1	4	1	3	2	1	1	4	4	4	5	4	1	5	5	5	4	4	4	3	4	4	1	4	5	5	2	4	1	5	4	3	2	4	3	5	4	3	4	4	2	4	1	1	3	0	1	4	0	0	0	0
vinogradarstvo	I	4141	3	2	5	2	2	1	5	3	4	1	3	4	5	3	5	1	4	2	4	2	4	2	5	5	5	5	4	2	5	2	3	2	4	3	5	2	5	5	5	1	5	3	4	3	5	2	5	4	5	5	4	2	5	5	3	0	5	4	0	2	0	0
ispravak	I	7635	3	2	5	0	0	5	4	3	1	3	1	4	3	3	3	3	1	4	5	4	4	2	3	3	5	5	1	3	2	4	4	3	2	3	5	2	5	5	2	2	4	3	3	5	5	5	5	4	3	2	4	3	5	1	4	0	3	2	4	0	0	0
karijes	I	3724	5	2	3	3	3	2	5	4	5	1	3	2	5	3	5	1	5	3	3	3	2	1	3	2	5	3	2	2	3	2	3	4	4	3	5	5	5	3	5	2	5	2	5	4	5	1	3	3	4	2	4	2	5	2	5	0	4	2	0	3	0	0
fokusirati	G	12943	1	3	5	4	4	3	2	4	1	4	1	3	5	5	5	5	1	5	2	2	2	3	3	2	5	5	3	3	4	3	4	4	2	4	4	4	4	5	2	2	4	3	4	3	5	5	4	4	3	2	2	4	3	3	2	0	3	2	4	0	0	0
posljednji	P	428649	4	5	5	4	4	3	3	5	4	4	5	4	2	4	3	2	5	5	3	4	4	4	5	4	5	5	1	4	1	3	3	4	3	4	4	4	2	4	2	2	4	4	3	3	5	4	1	4	3	1	4	4	5	1	3	0	5	4	2	4	0	0
slabovidan	P	3866	3	1	5	3	3	3	4	3	3	1	5	4	5	2	4	2	2	4	1	1	3	5	5	2	5	2	4	2	3	4	3	3	2	3	3	3	5	2	3	2	4	3	5	4	5	2	2	1	2	4	4	4	4	4	2	0	4	5	0	2	0	0
primat	I	6439	2	1	3	3	3	3	3	2	5	1	5	4	5	1	3	3	3	2	2	2	1	1	1	2	3	2	1	1	2	1	3	1	4	4	1	2	3	4	2	2	3	3	4	2	1	1	1	2	2	2	3	2	4	1	5	0	3	2	3	2	0	0
razglabati	G	3919	3	3	3	1	2	3	5	4	3	1	2	5	1	2	2	2	1	3	1	1	1	2	1	3	3	3	2	2	4	1	2	2	2	3	4	4	1	2	5	3	3	3	3	2	5	4	0	1	2	2	2	2	4	1	2	0	1	1	4	0	0	0
zreti	G	8999	4	3	5	3	2	3	5	4	1	1	2	5	3	2	4	3	5	3	2	1	2	3	1	2	4	3	1	1	3	1	3	3	3	3	4	4	1	1	4	3	3	2	3	3	1	1	3	2	2	3	2	2	1	1	2	0	1	1	0	3	0	0
osporavati	G	10381	2	4	2	4	4	3	3	4	1	2	1	4	3	3	0	3	1	2	1	1	3	1	1	2	2	2	3	1	1	2	3	4	1	3	2	3	1	3	2	3	3	2	4	3	3	3	3	4	3	0	4	3	1	1	2	0	1	1	2	4	0	0
greška	I	90229	3	5	5	5	3	3	3	5	1	4	3	5	5	5	3	3	3	5	5	5	5	5	5	3	5	5	4	4	4	4	4	5	1	5	5	2	5	5	2	4	5	4	5	4	5	5	5	5	5	5	2	5	3	4	3	0	3	5	3	1	0	0
civilizacijski	P	10253	1	2	3	3	5	3	3	3	2	1	3	3	2	2	4	3	2	3	4	3	4	3	1	3	2	1	1	1	2	2	4	3	2	3	4	5	2	2	2	4	3	3	2	3	4	4	3	2	3	2	4	3	1	1	2	0	1	1	0	2	0	0
vagati	G	6527	5	3	5	4	2	3	5	5	4	2	5	4	5	2	5	2	5	5	4	3	4	2	5	4	4	2	3	3	0	3	3	4	4	4	4	5	5	4	4	4	4	3	5	3	5	4	4	3	4	3	5	3	2	3	3	0	5	1	0	3	0	0
razotkriti	G	7835	4	4	5	3	0	3	3	4	2	2	4	4	2	2	3	4	5	5	2	2	5	2	4	3	3	2	3	3	3	3	3	4	2	4	3	3	3	3	4	4	3	3	3	3	5	4	3	3	3	1	2	3	2	1	2	0	3	2	3	4	0	0
nominalan	P	6848	1	2	2	3	3	3	1	2	1	1	1	5	1	1	1	1	1	1	1	1	2	1	1	2	2	1	3	2	2	1	3	2	1	4	1	4	1	1	2	4	3	2	2	2	2	2	2	2	2	1	2	5	1	1	2	0	1	1	1	1	0	0
prosvjetan	P	5904	1	2	3	2	0	3	3	3	2	1	2	3	2	2	3	1	1	1	1	2	3	2	2	2	1	1	1	1	1	1	4	2	1	3	4	3	2	1	2	4	4	3	3	3	1	1	3	2	2	1	3	1	1	1	2	0	1	1	2	2	0	0
poravnati	G	5306	4	3	5	4	5	3	5	4	4	3	5	4	2	2	4	1	5	5	4	2	3	3	5	3	2	2	4	4	4	3	4	4	3	4	4	5	3	2	2	4	3	2	4	4	4	3	4	3	3	5	4	2	2	2	2	0	4	2	3	3	0	0
soliti	G	8920	5	4	5	5	0	3	5	5	4	5	5	0	5	4	5	2	5	5	5	5	3	4	5	4	3	3	4	3	5	4	4	5	4	5	3	2	4	5	2	3	3	3	3	4	5	4	5	5	3	5	4	3	2	4	3	0	5	2	5	5	0	0
psihoza	I	3326	1	1	1	2	2	3	3	3	4	3	1	4	1	1	2	3	1	2	3	3	2	1	2	2	1	1	2	2	2	1	3	3	1	3	1	3	2	2	2	4	3	2	1	2	5	2	2	1	5	3	2	2	1	1	3	0	1	1	4	0	0	0
alarm	I	9732	5	4	5	4	0	5	4	5	4	5	5	3	5	5	4	4	5	5	5	5	4	3	5	3	5	5	4	4	3	5	5	4	4	5	5	4	5	5	2	4	5	3	4	4	5	5	4	4	5	5	4	4	5	5	3	0	4	2	4	3	0	0
higijenski	P	8411	2	2	2	3	3	5	4	4	3	4	1	4	3	3	3	3	3	5	5	5	5	2	5	4	4	4	3	4	4	5	3	4	4	4	5	4	4	4	2	4	4	3	2	3	5	5	3	4	4	4	4	4	2	4	2	0	3	1	3	3	0	0
pojačavati	G	13754	3	5	4	3	4	5	3	5	3	4	4	5	5	5	5	3	5	5	5	5	5	4	5	4	5	5	4	4	4	4	4	4	4	4	4	2	3	4	2	4	4	3	3	3	5	5	4	4	2	4	4	4	2	4	2	0	3	2	3	3	0	0
manjinski	P	11843	1	2	5	2	0	3	4	4	4	3	1	4	1	2	3	2	1	3	3	2	4	3	3	2	3	2	1	1	1	3	3	4	2	3	5	4	2	2	2	3	3	3	2	3	3	3	4	4	3	1	4	2	1	2	2	0	2	1	2	3	0	0
opažati	G	3450	3	4	2	5	5	5	4	5	3	2	4	2	2	2	4	1	1	4	5	3	4	5	3	3	4	4	2	2	3	3	4	4	3	4	4	3	2	5	3	4	3	3	4	3	2	5	4	4	2	1	4	3	1	1	2	0	1	1	0	0	0	0
grudnjak	I	10478	5	2	5	4	1	4	5	4	5	3	5	4	5	2	5	3	5	5	5	5	3	2	5	5	5	5	4	3	4	5	5	4	5	5	5	5	5	5	5	4	5	3	5	4	5	5	5	5	5	5	5	4	5	1	5	0	5	3	5	4	0	0
napon	I	15711	3	1	1	3	1	4	4	3	4	3	3	4	3	2	1	4	1	4	2	1	4	3	2	2	3	3	2	1	4	3	4	2	2	3	5	2	3	3	3	5	3	2	3	3	2	2	5	3	5	2	4	2	5	5	2	0	1	1	4	2	0	0
izvesti	G	82864	2	5	4	4	5	4	3	5	3	4	1	4	2	3	3	5	1	5	3	2	4	3	2	2	3	3	2	1	3	4	4	4	2	4	3	3	3	3	3	4	3	3	2	3	3	5	4	3	2	2	2	3	3	4	2	0	3	1	2	3	0	0
pećnica	I	14663	5	3	5	3	3	4	5	5	5	4	5	4	5	2	4	3	5	5	5	3	5	2	5	3	5	5	3	2	4	5	5	5	5	5	5	4	5	3	3	4	5	3	5	3	5	4	5	4	5	3	4	4	5	4	5	0	5	4	5	4	0	0
okupljati	G	36168	3	4	5	4	5	4	4	4	3	3	3	4	3	2	2	3	2	5	4	2	4	4	5	2	5	5	1	3	2	3	4	4	3	4	4	4	2	2	0	4	3	3	3	3	5	4	4	4	2	5	2	3	2	3	3	0	3	1	2	3	0	0
palma	I	7950	5	1	5	4	4	0	5	4	5	4	5	4	5	1	5	2	5	4	5	1	2	1	5	2	3	3	4	2	4	1	5	3	5	3	5	2	2	3	5	4	5	2	5	2	5	2	5	3	5	1	4	3	5	1	5	0	4	1	5	3	0	0
primjer	I	301953	3	5	4	5	3	2	3	5	2	5	1	3	3	4	3	3	1	5	5	5	3	5	2	4	5	5	2	4	1	5	2	5	1	5	5	4	5	5	3	4	5	4	2	4	4	5	5	5	5	5	2	4	1	3	2	0	1	3	2	4	3	0
lezbijski	P	3788	1	1	4	3	5	5	4	3	4	4	1	3	5	1	5	4	1	2	5	1	2	2	4	2	3	4	3	2	2	1	4	3	3	3	4	3	2	1	2	3	4	3	2	2	5	3	4	3	3	2	2	2	2	2	2	0	3	1	5	4	4	0
muž	I	82013	5	4	4	5	3	3	4	5	3	4	1	3	5	1	3	5	5	5	5	5	5	4	5	3	2	2	4	3	4	4	3	4	4	5	5	5	5	5	2	3	5	3	5	5	5	3	5	5	5	5	4	4	5	4	5	0	5	4	3	3	4	0
zadužen	P	7295	2	3	3	4	4	5	2	5	3	3	1	3	2	3	4	4	1	2	3	4	4	3	1	2	4	4	2	2	3	3	2	3	2	4	4	3	2	2	3	3	3	2	4	3	3	4	4	4	3	3	2	3	2	1	2	0	1	1	1	3	2	0
pedofil	I	12499	2	3	4	3	4	0	4	3	4	2	1	4	5	1	4	3	1	2	4	2	2	1	5	2	3	3	2	2	4	1	4	2	3	3	5	3	5	3	5	4	3	2	3	2	5	3	4	3	5	3	4	2	5	3	5	0	5	3	4	3	4	0
nuklearan	P	46009	2	3	3	2	0	5	4	4	4	1	1	3	5	4	3	2	1	2	4	1	3	1	1	2	3	3	1	1	3	1	3	2	3	3	3	2	2	1	5	4	4	3	2	3	5	2	5	3	4	1	4	2	2	2	2	0	2	1	5	2	3	2
građanka	I	4018	4	4	3	5	4	3	5	4	5	3	1	3	5	1	2	3	3	4	2	1	5	3	3	3	2	2	1	1	4	5	5	4	5	5	5	4	4	3	5	3	5	3	5	2	5	3	5	4	5	1	4	3	5	3	4	0	5	2	3	3	4	4
preglednost	I	3475	2	3	2	3	4	3	2	5	2	4	1	3	2	3	4	3	3	5	3	2	5	4	4	3	5	4	3	3	3	3	2	4	2	4	5	4	3	3	2	4	3	3	3	3	4	3	4	4	3	2	2	3	1	2	2	0	3	1	1	2	3	2
snježan	P	15154	5	3	4	3	4	3	4	3	5	4	3	3	5	3	5	3	5	3	4	1	3	2	4	2	4	4	2	1	3	2	5	3	4	4	5	5	1	1	5	5	4	2	3	2	5	3	4	4	3	1	4	3	2	2	2	0	1	1	4	2	4	3
nositi	G	296830	5	5	5	5	4	3	4	5	3	5	3	2	4	5	3	2	5	5	5	5	4	5	5	4	4	4	2	4	2	4	4	5	3	5	5	5	3	3	4	4	4	2	5	5	5	5	4	4	1	5	4	4	4	4	2	0	5	4	3	4	4	4
zagrijan	P	5005	5	4	5	3	4	3	4	5	3	4	1	5	5	4	4	2	5	5	3	3	3	3	5	4	4	2	3	3	2	2	4	4	3	4	4	4	2	4	4	4	4	3	4	3	5	3	3	3	4	3	2	3	3	3	2	0	4	3	4	3	3	3
studentski	P	49032	4	5	4	5	0	3	3	4	4	5	1	4	4	5	5	4	1	5	4	5	2	5	3	4	5	4	4	5	2	5	3	5	4	5	5	5	4	5	2	4	4	2	3	4	5	5	5	5	4	5	4	4	2	3	2	0	5	5	3	5	4	5
davan	P	33077	3	1	3	3	3	3	3	4	2	3	1	4	1	4	3	4	1	3	2	2	4	2	1	2	3	5	1	1	1	1	2	3	3	3	4	5	2	2	1	3	3	2	3	3	4	3	3	4	2	2	3	4	1	2	2	0	3	1	1	4	1	4
