leksem	vr	frek	19a.01.k	19a.01.č	19a.02.k	19a.02.č	19a.03.k	19a.03.č	19a.04.k	19a.04.č	19a.05.k	19a.05.č	19a.06.k	19a.06.č	19a.07.k	19a.07.č	19a.08.k	19a.08.č	19a.09.k	19a.09.č	19a.10.k	19a.10.č	19a.11.k	19a.11.č	19a.12.k	19a.12.č	19a.13.k	19a.13.č	19a.14.k	19a.14.č	19a.15.k	19a.15.č	19a.16.k	19a.16.č	19b.01.k	19b.01.č	19b.02.k	19b.02.č	19b.03.k	19b.03.č	19b.04.k	19b.04.č	19b.05.k	19b.05.č	19b.06.k	19b.06.č	19b.07.k	19b.07.č	19b.08.k	19b.08.č	19b.09.k	19b.09.č	19b.10.k	19b.10.č	19b.11.k	19b.11.č	19b.12.k	19b.12.č	19b.13.k	19b.13.č	19b.14.k	19b.14.č	19b.15.k	19b.15.č	19b.16.k	19b.16.č
netrpeljivost	I	6354	2	3	3	3	1	3	1	1	2	2	1	1	2	1	2	1	2	2	2	1	5	3	1	3	1	1	2	2	5	4	2	4	3	2	0	3	3	1	1	2	2	3	4	4	3	3	5	3	2	3	2	2	2	2	3	3	2	2	3	3	2	3	1	1
dočekati	G	82239	3	5	5	5	3	5	4	3	2	4	5	5	5	5	5	5	4	4	5	3	5	3	3	5	4	5	5	4	5	5	5	5	2	3	1	5	3	1	1	4	2	4	5	5	4	5	3	5	2	5	3	4	3	3	5	5	2	3	3	4	3	3	3	4
kalkulator	I	4060	5	4	5	3	5	5	5	2	5	3	4	4	5	5	5	3	5	3	5	4	4	3	5	5	5	3	5	4	5	4	5	3	2	3	5	5	5	2	5	4	5	5	5	5	4	5	3	2	5	3	5	3	3	4	5	5	5	3	2	1	4	5	5	3
potpomagati	G	3701	2	4	4	2	2	3	4	1	2	2	4	4	3	2	3	1	4	3	3	4	4	3	3	4	4	3	3	2	5	4	3	2	5	3	5	4	2	2	1	4	3	4	5	5	2	2	3	4	1	3	4	4	2	3	5	3	3	3	5	5	2	2	3	2
obitelj	I	443020	5	4	5	5	5	5	4	3	4	4	5	5	5	5	5	5	5	5	5	5	2	5	5	5	1	4	5	5	5	5	1	5	2	4	5	5	3	3	1	4	4	5	3	3	1	2	5	2	5	5	5	5	3	4	5	5	2	5	3	4	3	5	2	5
obmana	I	6285	4	4	4	2	1	2	1	1	2	3	1	1	1	1	3	3	3	1	1	2	2	4	1	4	1	1	3	2	3	3	2	4	5	2	5	3	2	3	1	3	2	4	5	5	1	5	4	3	1	1	3	2	2	2	3	3	2	2	2	2	2	3	5	1
znanje	I	249406	2	5	2	5	3	5	1	3	2	4	5	5	5	5	5	4	2	5	1	5	5	5	1	5	1	3	4	4	5	5	1	5	1	4	5	5	2	4	1	4	1	5	5	5	1	1	2	2	1	5	2	5	4	4	5	5	2	4	3	3	2	4	1	5
ispucati	G	5351	2	4	3	3	3	4	4	1	4	4	1	1	5	4	4	3	3	3	3	3	5	5	2	4	4	3	5	2	5	4	5	4	1	2	5	4	5	3	2	4	4	4	5	5	2	5	5	2	3	4	3	3	3	3	5	4	3	2	4	4	3	3	3	3
iznjedriti	G	6543	2	3	2	1	3	3	4	1	4	2	5	5	1	2	2	1	3	1	1	1	5	5	1	3	4	3	2	1	3	3	5	2	4	1	5	2	1	1	1	1	2	3	5	5	1	3	2	4	2	2	2	2	2	2	3	3	2	1	5	4	3	3	4	1
oponašati	G	5566	2	5	3	4	4	4	5	1	3	3	5	5	5	5	3	3	5	3	4	3	5	5	3	5	4	3	4	3	5	4	1	5	2	3	5	5	4	3	2	3	4	5	5	5	2	1	3	1	5	4	5	4	3	4	5	5	3	3	3	3	2	3	2	2
platiti	G	185393	3	4	3	5	5	5	3	4	4	4	5	5	5	5	5	5	5	5	4	4	3	5	5	5	5	5	5	5	5	5	1	5	2	4	5	5	5	5	5	5	2	5	5	5	3	4	5	2	4	5	5	5	3	3	5	5	4	4	5	2	4	4	4	4
uspostava	I	26255	2	3	2	4	2	3	4	1	2	2	1	1	3	3	3	2	4	2	3	3	2	4	2	3	4	3	4	2	5	4	1	5	5	1	5	3	1	1	1	1	3	4	5	5	2	5	3	4	2	3	4	4	2	2	4	3	2	2	3	2	2	2	5	3
lijevi	P	91470	3	5	4	3	4	5	5	2	4	4	1	5	5	5	4	3	5	5	5	4	1	5	2	5	5	5	3	4	5	5	5	5	1	4	5	5	3	4	5	5	4	5	5	5	1	3	5	3	5	5	5	5	3	4	5	5	3	4	4	5	3	3	2	3
