leksem	vr	frek	21a.01.k	21a.01.č	21a.02.k	21a.02.č	21a.03.k	21a.03.č	21a.04.k	21a.04.č	21a.05.k	21a.05.č	21a.06.k	21a.06.č	21a.07.k	21a.07.č	21a.08.k	21a.08.č	21a.09.k	21a.09.č	21a.10.k	21a.10.č	21a.11.k	21a.11.č	21a.12.k	21a.12.č	21a.13.k	21a.13.č	21a.14.k	21a.14.č	21a.15.k	21a.15.č	21b.01.k	21b.01.č	21b.02.k	21b.02.č	21b.03.k	21b.03.č	21b.04.k	21b.04.č	21b.05.k	21b.05.č	21b.06.k	21b.06.č	21b.07.k	21b.07.č	21b.08.k	21b.08.č	21b.09.k	21b.09.č	21b.10.k	21b.10.č	21b.11.k	21b.11.č	21b.12.k	21b.12.č	21b.13.k	21b.13.č	21b.14.k	21b.14.č	21b.15.k	21b.15.č	21b.16.k	21b.16.č	21b.17.k	21b.17.č	21b.18.k	21b.18.č	21b.19.k	21b.19.č	21b.20.k	21b.20.č
blijed	P	9254	4	4	4	4	4	3	5	4	4	2	5	3	4	4	4	5	4	4	5	3	5	4	4	4	5	4	0	0	2	3	3	3	5	0	5	1	4	3	4	4	5	3	5	2	5	5	3	3	5	2	5	1	5	3	4	3	3	5	4	3	3	4	3	3	4	5	5	3	1	4
nezainteresiran	P	4961	5	4	3	4	1	3	2	5	3	3	3	4	2	4	3	5	2	4	3	2	3	5	2	5	3	5	0	0	4	4	3	3	5	0	5	3	5	4	4	5	3	3	5	4	5	5	5	5	5	4	5	3	1	3	3	2	2	5	3	3	1	5	3	3	5	4	3	2	1	4
ovladati	G	5441	4	3	4	3	1	2	1	3	2	2	2	2	1	2	3	4	2	3	1	1	2	2	2	1	2	4	0	0	2	2	3	3	5	0	4	1	3	0	2	2	3	3	4	4	5	5	2	1	3	3	2	1	2	3	4	4	4	3	2	2	2	1	3	3	4	4	2	3	1	3
pristati	G	51321	4	3	3	4	2	4	2	4	3	4	2	4	2	4	2	5	2	3	2	2	1	5	3	3	3	5	0	0	4	5	3	3	3	0	4	2	4	3	4	4	3	3	4	3	5	5	0	0	2	2	5	3	1	3	4	4	3	4	4	3	2	5	3	3	5	5	2	2	2	4
dati	G	1027966	3	3	5	5	3	5	5	5	3	4	3	5	3	4	4	5	3	5	3	5	5	5	1	5	4	4	0	0	5	5	3	3	4	0	5	3	5	4	1	5	3	3	5	5	4	2	2	3	4	3	4	3	4	3	3	4	2	4	5	4	3	5	3	3	5	5	3	4	4	4
opredjeljenje	I	10019	4	4	3	3	2	4	2	3	4	2	1	3	2	3	1	3	1	3	1	2	2	3	1	2	3	3	0	0	1	3	3	3	2	0	4	1	5	0	5	4	3	3	5	1	0	0	2	1	5	3	2	1	2	3	4	4	5	1	1	2	1	4	3	3	4	4	3	1	1	3
val	I	57128	4	4	5	3	5	3	5	3	2	2	5	3	4	3	5	3	5	3	5	2	5	3	3	3	4	4	0	0	5	4	3	3	5	0	5	1	4	3	3	5	5	3	5	1	5	2	3	2	3	2	5	1	5	3	4	4	5	5	4	2	5	3	3	3	4	5	5	1	5	2
beskrajan	P	12627	5	4	3	5	1	1	1	3	2	1	2	3	1	4	2	5	1	3	3	2	1	2	1	5	2	3	0	0	3	3	3	3	5	0	5	1	0	4	1	5	1	3	2	2	2	2	2	2	2	5	1	2	4	3	4	4	3	4	1	2	2	3	3	3	5	5	2	3	1	3
proživjeti	G	12763	3	4	5	4	0	0	3	4	2	2	3	4	2	3	3	4	1	3	1	3	1	3	2	4	3	4	0	0	3	2	3	3	3	0	4	3	5	3	5	4	3	3	2	2	5	2	2	3	3	4	4	3	4	3	3	3	4	3	1	3	1	3	3	3	5	5	3	2	1	3
raspisivati	G	4222	4	2	4	4	2	2	5	4	1	2	2	3	2	3	4	3	3	4	2	3	5	3	4	1	4	4	0	0	3	2	3	3	4	0	4	1	5	4	4	4	3	3	4	3	5	2	1	1	2	3	3	2	4	3	3	4	5	4	2	2	1	1	3	3	5	5	2	3	1	3
ostarjeti	G	3866	4	2	3	4	3	3	5	4	5	3	5	4	3	3	4	5	3	2	4	3	3	3	2	2	4	4	0	0	2	4	3	3	3	0	4	2	5	4	4	4	3	3	3	2	5	2	0	0	3	3	5	1	4	3	3	5	5	5	2	3	1	4	3	3	5	5	4	1	1	3
prebaciti	G	48488	4	3	2	4	3	4	5	5	2	3	2	2	2	3	5	5	4	3	2	3	4	3	2	4	5	4	0	0	2	3	3	3	3	0	4	3	5	3	3	5	3	3	4	2	4	5	2	2	4	4	2	2	5	3	4	5	5	5	4	3	2	3	3	3	5	5	3	1	3	4
naljutiti	G	11834	4	3	4	4	2	4	5	4	4	3	4	4	2	4	3	4	3	3	4	4	5	5	3	4	4	5	0	0	2	4	3	3	3	0	4	3	5	4	5	5	3	3	3	2	5	5	2	3	3	3	4	2	5	3	5	3	5	5	4	3	1	2	3	3	4	5	4	2	3	4
trzaj	I	3656	4	2	3	3	4	2	5	3	2	1	2	2	4	2	5	5	4	2	3	2	5	3	4	3	5	3	0	0	2	3	3	3	5	0	5	1	4	0	4	3	3	3	2	1	5	5	3	2	4	2	3	2	5	3	2	3	3	4	3	2	5	2	3	3	5	5	5	2	5	4
reproducirati	G	5426	3	2	4	4	4	4	4	4	3	3	1	2	2	2	3	4	2	4	1	2	4	3	2	2	3	3	0	0	4	1	3	3	4	0	4	1	4	3	2	4	3	3	3	1	3	2	2	1	3	3	2	1	4	3	4	4	5	2	3	2	2	3	3	4	4	5	3	3	2	4
novac	I	489289	3	1	4	5	1	5	5	5	5	4	5	5	5	5	4	5	2	5	5	4	5	5	3	4	4	5	0	0	3	5	3	3	5	0	5	5	2	4	1	5	5	5	5	3	5	5	5	5	5	5	5	4	5	3	5	4	5	5	5	5	3	5	3	4	5	5	5	4	5	5
diktat	I	3864	4	2	3	3	2	1	3	3	2	1	2	2	2	1	2	4	2	1	1	4	5	2	2	1	3	4	0	0	3	1	3	3	4	0	5	1	4	4	0	0	5	3	4	1	5	5	3	1	4	4	5	1	5	3	3	3	2	3	4	3	3	2	3	3	5	5	4	3	2	1
osvrtati	G	7170	4	2	5	4	2	2	2	4	1	1	2	2	3	3	2	3	2	2	1	3	4	3	1	1	4	3	0	0	2	1	3	3	2	0	4	2	4	2	5	3	3	3	3	1	3	2	2	1	2	3	2	1	2	3	3	4	2	3	2	2	1	4	3	3	3	4	2	2	1	3
objediniti	G	5335	3	1	5	4	1	2	3	4	3	1	3	3	2	3	3	3	2	2	1	3	3	3	2	2	3	4	0	0	3	2	3	3	2	0	4	1	2	4	4	2	3	3	4	1	0	0	2	1	4	2	2	1	5	3	4	3	3	2	2	3	1	4	3	3	3	5	1	2	1	1
trijezan	P	3854	4	4	4	5	1	5	4	4	3	1	5	4	3	5	2	4	2	3	4	3	5	3	3	3	3	5	0	0	2	4	3	3	5	0	5	4	3	4	3	4	3	3	5	1	4	5	1	1	5	4	5	3	5	3	5	5	5	5	2	3	2	3	3	3	4	5	4	2	1	3
forumski	P	3965	3	2	4	4	1	1	3	3	2	1	1	1	2	2	3	4	2	2	1	1	3	3	3	2	2	3	0	0	1	1	3	3	4	0	4	1	4	2	2	2	3	3	1	1	3	3	1	1	4	4	2	1	3	3	3	3	3	2	1	1	1	1	3	3	4	4	2	2	1	1
cestovan	P	20704	2	1	5	1	4	2	3	2	1	1	1	1	3	2	4	3	3	2	4	2	5	4	4	3	5	3	0	0	2	2	3	3	4	0	4	2	4	3	2	1	3	3	3	1	5	5	1	1	5	3	5	2	3	3	2	5	5	4	1	3	2	3	3	3	4	5	4	2	1	2
navaliti	G	8735	3	3	3	3	1	3	2	3	3	2	3	3	2	2	3	4	3	3	2	3	3	3	1	3	2	4	0	0	1	3	3	3	4	0	4	4	4	2	4	3	3	3	3	2	5	5	2	3	4	3	2	1	4	3	3	4	5	5	2	3	1	2	3	3	5	5	2	3	3	4
svestran	P	7480	4	3	3	4	1	1	2	4	4	3	4	4	1	4	2	4	1	3	1	3	2	3	3	2	2	4	0	0	1	2	3	3	2	0	4	1	2	4	3	2	3	3	4	3	4	3	3	3	2	2	3	1	1	3	3	5	3	3	1	2	1	4	3	3	5	5	2	1	1	3
nedoumica	I	8947	4	3	4	4	1	2	1	4	4	3	4	4	2	3	3	5	1	3	1	3	2	3	2	2	2	3	0	0	2	1	3	3	4	0	5	2	2	2	4	4	3	3	4	3	3	4	2	1	3	3	5	2	1	3	4	4	1	2	2	3	1	4	3	3	5	5	2	2	2	3
širok	P	167816	4	4	4	5	4	4	5	5	3	2	4	4	4	4	4	5	5	4	5	4	5	5	3	2	5	4	0	0	5	5	3	3	4	0	5	2	4	2	2	5	3	3	4	3	5	5	3	4	5	4	5	1	5	3	2	3	5	4	4	3	3	4	3	3	4	5	3	2	4	5
olakšanje	I	9525	4	3	3	4	1	3	2	5	4	4	2	5	2	4	4	4	2	3	1	3	4	5	0	0	1	5	0	0	2	4	3	3	4	0	4	2	4	3	3	4	3	3	1	4	3	3	1	2	4	5	4	1	1	3	5	4	2	3	4	4	2	4	3	3	5	5	2	1	1	4
