leksem	vr	frek	25a.01.k	25a.01.č	25a.02.k	25a.02.č	25a.03.k	25a.03.č	25a.04.k	25a.04.č	25a.05.k	25a.05.č	25a.06.k	25a.06.č	25a.07.k	25a.07.č	25a.08.k	25a.08.č	25a.09.k	25a.09.č	25a.10.k	25a.10.č	25a.11.k	25a.11.č	25a.12.k	25a.12.č	25a.13.k	25a.13.č	25a.14.k	25a.14.č	25a.15.k	25a.15.č	25b.01.k	25b.01.č	25b.02.k	25b.02.č	25b.03.k	25b.03.č	25b.04.k	25b.04.č	25b.05.k	25b.05.č	25b.06.k	25b.06.č	25b.07.k	25b.07.č	25b.08.k	25b.08.č	25b.09.k	25b.09.č	25b.10.k	25b.10.č	25b.11.k	25b.11.č	25b.12.k	25b.12.č	25b.13.k	25b.13.č	25b.14.k	25b.14.č	25b.15.k	25b.15.č
hvatati	G	25023	5	3	4	5	5	4	3	3	5	4	4	4	5	5	5	3	5	5	4	4	4	5	4	5	4	4	5	5	4	4	5	5	5	4	5	4	4	4	2	5	5	2	4	4	5	4	5	3	5	3	5	5	4	3	4	4	5	3	3	4
usvojen	P	6655	5	3	4	3	3	2	1	2	4	3	4	4	4	3	3	3	3	4	2	2	2	3	2	3	3	4	4	2	3	3	2	3	4	4	5	3	2	4	2	4	4	4	2	2	4	3	4	4	5	3	5	2	2	2	5	3	3	2	2	2
stanarski	P	4143	3	2	3	2	4	3	1	1	5	5	5	4	5	3	2	1	2	3	3	3	2	2	3	4	2	3	3	1	0	0	3	3	4	5	4	3	3	3	2	4	5	4	2	2	3	2	3	3	5	2	5	3	2	1	4	2	2	2	2	3
vrhunski	P	104191	1	3	3	2	2	4	4	3	5	5	2	3	5	4	4	4	1	5	4	3	1	3	2	4	2	4	3	5	2	3	1	5	3	4	3	4	1	4	2	4	3	3	3	4	2	4	2	4	5	2	5	3	2	3	3	4	1	4	2	3
lančan	P	3003	3	2	3	2	3	4	2	1	5	3	5	2	4	2	5	3	4	4	4	2	3	3	4	3	2	4	4	2	2	3	3	4	4	3	4	3	2	4	2	3	5	4	2	2	3	3	3	3	5	2	5	2	2	1	4	4	4	1	3	1
snositi	G	23316	1	3	1	3	2	4	1	3	4	4	3	2	5	5	4	4	2	3	3	3	2	4	2	3	2	4	2	1	1	3	1	4	3	4	2	2	1	4	2	3	4	4	2	3	1	4	3	2	2	2	5	2	2	2	3	3	1	3	2	1
nijekati	G	4162	2	2	2	3	2	3	4	1	4	3	5	2	4	3	4	4	2	3	3	2	3	4	2	3	1	3	1	2	3	3	1	4	3	4	2	2	4	3	2	3	5	4	2	3	3	4	4	2	4	2	5	1	1	1	3	3	3	2	2	1
povjeriti	G	16024	1	4	3	3	2	4	1	4	5	4	4	3	2	5	4	4	1	3	4	3	1	3	3	4	1	5	4	5	2	3	4	5	1	4	3	3	3	4	2	4	4	4	2	4	3	4	4	3	5	4	5	4	2	4	1	4	1	3	3	3
prostor	I	527848	5	5	2	3	5	5	4	5	5	5	2	4	5	5	5	5	5	5	5	4	3	5	5	5	4	5	5	4	4	4	5	5	1	4	5	4	1	4	3	5	5	5	3	3	4	4	2	5	5	3	5	5	2	5	1	2	2	5	5	3
satelit	I	16634	5	3	4	2	5	3	4	3	4	4	3	2	5	2	3	3	5	2	5	2	5	4	5	3	5	3	5	1	4	2	5	5	5	3	5	2	5	3	3	2	4	3	4	2	5	2	4	2	5	2	5	2	5	5	5	3	3	2	4	1
posjetitelj	I	98980	5	3	3	4	5	4	5	5	5	3	4	2	5	3	4	4	2	3	5	3	2	3	5	4	3	3	5	2	2	3	5	5	5	4	4	3	4	4	2	4	5	4	3	3	5	2	4	4	5	3	5	3	5	2	5	2	2	2	3	3
odan	P	6346	1	2	1	3	3	3	2	2	5	3	4	2	1	3	4	4	1	3	4	3	1	3	2	3	2	4	1	3	1	3	1	4	2	4	3	3	2	4	2	4	3	4	1	3	1	3	3	4	4	3	5	3	2	2	2	4	1	3	1	1
konačan	P	101858	1	2	1	4	2	3	5	4	5	4	5	2	1	3	4	4	1	4	5	4	1	4	3	3	2	4	3	3	1	4	2	5	2	3	2	2	1	4	4	4	3	4	3	3	2	3	2	3	4	2	5	2	2	1	1	2	2	4	2	1
oporbeni	P	17613	1	1	2	3	1	1	1	1	3	1	4	3	1	1	3	2	1	2	2	2	1	3	1	4	2	3	1	1	1	1	2	4	2	2	3	3	2	2	2	4	4	5	1	4	4	3	3	5	3	2	5	1	4	1	4	5	3	3	3	1
ministarstvo	I	275974	5	5	3	4	5	2	4	5	4	5	5	2	5	4	5	3	1	3	3	4	2	5	5	3	5	4	5	4	2	4	4	4	1	4	4	3	1	4	3	4	5	5	2	4	4	3	3	5	5	3	5	2	5	3	5	3	2	4	3	2
nepokretan	P	7518	4	4	4	3	3	3	4	3	5	3	5	3	5	3	5	3	5	3	5	3	2	4	4	4	5	4	5	2	3	2	5	4	5	4	4	3	5	3	3	4	5	4	2	3	3	2	5	4	5	3	5	3	5	3	4	4	4	3	5	2
regulirati	G	24059	2	4	2	2	3	4	5	3	5	4	3	3	5	2	3	3	3	3	3	3	1	4	2	4	3	5	3	4	2	3	5	5	2	4	3	2	2	3	2	4	4	4	1	4	3	2	4	3	5	3	5	2	2	2	3	3	3	3	2	3
buljiti	G	5986	4	4	3	3	2	4	3	4	5	5	5	3	5	3	5	3	5	4	4	3	3	4	3	3	3	4	5	4	3	2	5	5	5	3	4	3	5	3	2	4	5	3	3	2	5	2	5	4	5	3	5	5	3	3	4	3	4	4	5	3
očev	P	15705	4	3	5	4	4	5	5	1	5	4	5	2	1	2	5	3	5	5	5	3	3	4	3	4	3	4	5	5	3	2	3	3	4	5	5	4	4	4	3	4	5	2	3	3	5	3	5	4	5	2	5	5	3	2	4	5	1	2	4	5
omiljen	P	59553	1	3	3	4	3	4	5	3	5	3	5	5	1	5	5	3	1	4	4	3	2	5	2	5	1	4	3	4	2	3	1	5	2	4	2	4	2	5	2	4	3	4	2	4	1	4	3	4	5	3	5	3	2	2	3	3	1	4	1	2
upornost	I	12138	1	5	2	4	2	5	5	3	5	4	5	3	1	2	4	3	1	3	3	4	1	4	3	5	1	5	2	4	2	3	1	5	1	4	2	4	1	4	2	4	5	4	2	4	1	4	2	5	5	4	5	4	2	3	2	3	1	3	2	3
neprihvatljiv	P	19401	1	4	1	3	1	4	3	2	5	4	5	3	1	2	4	4	1	4	3	3	2	5	2	4	2	4	2	5	1	3	1	5	2	4	2	3	1	3	2	4	3	4	1	4	2	3	3	3	4	3	5	4	2	3	4	2	2	3	3	3
pridržavati	G	20445	3	5	2	2	2	3	2	3	3	4	5	3	3	3	4	3	4	3	3	2	3	4	4	3	2	4	3	4	2	3	4	5	3	3	3	3	4	3	2	3	5	3	3	3	5	3	4	3	5	3	5	4	5	4	4	2	4	4	3	3
dvosmjeran	P	3089	4	2	3	3	5	3	5	3	5	3	5	3	5	2	5	3	4	3	4	4	3	3	4	4	3	4	2	3	1	2	4	5	2	3	4	2	4	4	3	3	5	4	3	4	3	3	5	3	5	3	5	3	5	3	4	3	5	3	2	1
teškoća	I	32415	2	2	4	4	3	4	5	1	3	4	2	3	5	3	5	4	2	4	3	0	1	3	3	3	3	3	1	4	2	3	1	5	1	3	3	4	1	3	2	4	3	4	2	2	3	3	4	4	5	2	5	4	2	4	4	3	1	4	1	2
proslavljen	P	6692	2	2	3	3	2	3	2	1	3	3	3	1	2	2	4	3	1	3	2	2	2	2	2	4	2	3	4	2	1	2	2	3	1	3	2	2	2	3	2	4	4	3	2	3	2	3	4	3	5	2	5	2	2	2	4	3	2	2	2	1
nestati	G	93340	4	5	2	4	2	4	5	4	5	4	3	4	5	3	3	3	4	4	4	4	3	4	4	5	1	4	2	5	2	2	3	5	4	3	4	3	3	3	3	4	5	4	2	4	4	4	2	5	5	2	5	5	3	3	5	4	3	4	2	2
prosvjeta	I	10410	4	3	3	3	5	4	1	1	2	3	2	1	5	2	3	3	1	3	2	1	2	2	2	4	4	4	3	1	1	1	1	1	1	2	3	1	1	3	2	4	5	5	2	3	3	2	3	4	2	2	5	2	4	1	5	5	2	3	1	1
pričanje	I	5854	5	5	3	3	4	5	3	5	5	5	3	1	5	4	4	5	5	5	4	5	4	5	3	5	4	5	5	5	4	4	5	5	5	5	5	5	5	5	2	4	5	5	5	5	5	5	5	5	5	3	5	5	2	4	4	4	4	5	4	5
nadomjestiti	G	5593	2	2	2	4	3	4	2	1	5	4	3	2	2	2	3	3	3	3	3	3	2	1	3	4	3	3	4	2	2	2	2	5	1	4	3	2	2	4	2	4	3	3	3	3	3	3	4	2	3	2	5	3	2	2	4	4	1	3	1	1
projekt	I	545934	4	2	4	4	5	5	5	2	2	3	2	2	3	3	4	3	4	3	3	3	2	4	4	4	4	5	2	4	2	2	3	5	2	4	5	4	2	5	2	4	5	4	2	4	4	4	4	3	5	3	5	5	5	5	4	3	1	4	2	1
pučanstvo	I	10979	4	1	4	2	5	3	5	1	5	3	5	2	4	2	2	1	2	1	4	1	4	1	5	2	4	3	3	1	1	1	5	2	4	1	4	2	4	3	2	2	5	3	4	1	5	2	4	2	4	1	5	1	4	1	4	4	2	3	3	1
štediša	I	6180	4	1	4	3	3	3	5	1	5	2	3	1	4	2	3	1	1	1	1	1	3	1	4	3	4	3	2	1	2	1	3	1	3	1	4	2	2	2	2	2	5	3	5	1	5	1	4	3	4	2	5	1	5	2	4	4	1	1	2	1
zadržati	G	104436	4	5	2	5	2	4	1	3	5	4	5	2	3	4	4	3	4	3	4	4	3	4	3	4	5	4	4	5	1	3	3	5	2	4	3	4	3	4	2	4	5	3	5	4	3	4	4	3	5	2	5	4	3	3	4	5	1	4	3	3
početan	P	64728	2	2	3	5	2	5	1	3	4	4	5	2	1	5	4	4	3	3	4	3	2	4	3	4	3	3	4	2	2	3	3	5	2	3	4	3	1	4	2	4	4	3	3	3	2	3	5	4	4	2	5	4	2	1	3	3	3	3	2	3
balkon	I	23900	5	3	5	4	5	5	5	5	5	4	5	4	5	2	5	3	5	4	5	5	5	3	5	5	5	4	5	5	5	4	5	5	5	4	5	5	5	4	5	4	5	5	5	4	5	3	5	5	5	3	5	5	5	4	5	5	5	4	5	5
zrak	I	137322	5	3	5	5	4	4	5	5	5	4	5	4	5	2	2	3	5	4	5	4	3	5	3	5	2	5	4	5	1	4	5	5	2	4	5	5	4	5	4	3	5	4	5	5	2	4	4	5	5	4	5	5	5	5	3	5	3	5	4	5
obrtnički	P	14181	4	3	4	3	3	2	1	2	4	4	5	1	2	2	3	1	3	1	4	3	2	4	4	3	4	3	2	1	1	2	3	3	3	4	4	2	2	2	2	3	4	3	3	4	3	3	4	2	4	2	5	3	3	2	3	4	3	3	3	3
cijev	I	46478	5	3	5	3	5	3	5	3	5	3	5	4	5	2	4	2	5	3	5	2	5	2	5	5	5	3	5	4	4	2	5	5	5	4	5	3	5	3	5	3	5	4	5	4	5	3	5	4	5	2	5	4	5	3	5	4	5	4	5	1
repriza	I	7699	5	4	4	3	4	3	5	4	5	4	5	4	5	2	2	2	2	4	5	4	2	4	3	4	2	4	4	5	1	3	4	4	4	5	4	3	3	4	2	4	5	5	4	3	4	3	4	4	5	4	5	2	5	4	5	5	1	3	4	2
mehanički	P	18938	3	1	2	3	3	4	3	3	4	3	2	2	3	2	2	2	3	2	4	3	3	3	4	3	5	4	2	3	2	3	3	5	3	4	3	2	1	2	2	4	4	4	3	3	3	4	4	3	5	2	5	3	2	4	3	2	3	2	4	2
odbjegao	P	4767	3	2	1	2	2	4	1	1	3	2	5	2	5	2	2	2	1	1	3	1	1	1	3	3	2	3	3	1	1	1	3	3	2	1	2	2	2	1	2	3	4	3	4	2	3	3	4	2	4	2	5	3	3	1	3	3	2	2	2	1
tamnica	I	4873	5	2	5	4	5	5	5	1	5	3	5	2	5	2	4	1	5	1	5	1	4	1	5	3	5	3	5	1	2	2	5	3	5	2	5	1	4	1	4	4	5	2	5	2	5	2	5	3	5	1	5	2	5	1	5	3	5	2	4	1
nepromijenjen	P	6244	3	2	1	3	3	4	2	2	5	3	5	3	1	4	2	2	4	2	5	3	2	3	4	4	2	4	4	5	1	3	2	5	2	3	5	5	4	5	2	4	5	3	5	3	2	4	5	5	5	2	5	3	3	3	4	5	2	3	1	2
gorski	P	17903	4	2	4	3	3	3	2	1	4	3	5	2	5	2	3	3	4	1	5	3	3	2	4	4	4	2	3	1	2	2	4	4	3	2	4	2	4	3	3	3	5	3	4	2	4	2	5	4	5	2	5	2	3	2	3	3	4	2	2	1
upitati	G	50045	4	3	4	3	2	4	3	4	5	3	5	2	4	2	3	4	5	4	4	5	2	4	4	4	2	5	4	5	2	4	3	5	5	4	5	4	4	2	2	4	5	5	5	3	5	5	5	5	5	3	5	4	3	4	4	5	3	4	3	3
istinski	P	48760	1	2	4	3	2	1	1	1	4	3	4	2	1	4	3	4	2	3	4	3	1	4	3	5	2	4	3	5	1	3	1	5	1	3	2	3	2	2	2	3	3	3	1	2	1	5	2	4	2	1	3	3	2	4	1	4	1	2	1	2
radij	I	24666	3	1	5	2	4	1	1	1	5	1	2	1	1	1	2	1	4	1	5	1	3	1	4	3	3	2	4	1	1	1	5	3	2	1	3	1	4	1	5	2	5	2	5	2	2	2	4	1	5	1	5	1	5	1	4	2	1	1	1	1
uletjeti	G	3096	3	3	3	3	3	3	1	1	3	4	4	3	4	3	2	1	5	3	4	3	3	3	4	3	2	4	5	3	2	2	4	5	4	3	4	3	3	2	2	4	5	4	3	3	4	3	4	3	5	2	5	4	2	3	3	4	2	2	3	4
bježanje	I	3240	5	4	2	3	3	3	5	4	5	3	3	1	5	4	5	4	5	3	4	4	4	4	4	5	1	4	4	5	2	2	5	5	4	4	4	3	4	3	2	4	5	4	3	4	3	4	5	5	5	2	5	5	3	3	3	3	4	3	3	4
zadirati	G	4838	1	1	2	3	3	3	2	2	4	3	2	3	4	3	2	3	3	2	1	1	1	2	3	3	2	4	1	1	1	2	4	3	2	3	1	2	3	3	2	4	4	3	3	2	3	3	3	2	2	1	5	3	2	2	2	4	2	3	2	1
crta	I	42830	5	5	5	5	5	5	5	4	5	3	2	3	5	4	5	2	5	4	5	4	5	5	5	5	5	5	3	4	5	4	5	5	5	4	5	3	2	4	5	4	5	4	5	2	3	5	5	5	5	2	5	5	5	4	5	5	5	5	5	5
latinica	I	7528	5	3	5	3	3	2	5	2	5	2	5	2	5	2	5	3	4	1	5	1	4	2	5	4	5	3	4	1	2	3	5	3	4	2	5	3	4	3	5	2	5	3	5	1	5	3	5	3	5	1	5	1	5	1	4	3	1	1	5	1
velik	P	2716669	5	5	5	5	4	5	5	5	5	4	5	5	5	4	5	3	4	4	5	5	5	5	5	5	5	4	5	5	4	5	5	5	5	5	5	4	2	5	2	5	3	4	5	4	4	5	4	5	5	4	5	5	3	4	4	5	5	4	4	5
doživotan	P	11833	2	3	4	3	2	4	1	1	5	2	5	3	1	4	3	2	2	2	4	2	3	3	3	4	3	4	4	3	1	2	4	4	2	4	2	2	4	2	2	4	5	4	3	2	2	3	5	4	4	2	5	2	4	2	3	2	2	3	2	3
upisati	G	90564	5	4	3	4	3	4	2	4	4	3	3	3	3	3	3	3	3	3	3	2	2	4	3	4	4	4	5	5	3	4	5	5	5	4	5	4	4	5	2	4	5	4	4	3	5	5	5	5	5	3	5	4	5	5	4	5	4	5	4	2
grad	I	1078462	5	5	5	5	5	4	5	5	5	5	5	4	5	4	4	4	5	5	5	5	3	5	5	5	5	5	5	5	3	0	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	4	5	4	4	2	5
poteći	G	11153	3	3	3	4	3	2	1	3	3	2	2	2	2	2	3	3	5	3	2	1	2	2	3	4	3	4	3	1	1	2	4	5	5	3	5	3	3	3	4	3	5	3	4	3	5	3	4	3	5	2	5	3	4	2	4	4	3	2	4	1
tjeranje	I	3071	4	3	3	4	3	3	2	3	5	5	2	2	2	2	3	2	3	2	4	3	4	3	4	3	3	3	4	5	2	2	4	5	3	3	4	2	3	3	2	4	4	4	4	2	5	3	5	4	3	1	5	3	2	2	3	3	3	3	4	2
odraditi	G	84300	3	4	4	4	3	3	3	4	5	4	3	3	2	2	3	4	2	3	3	2	3	4	4	4	3	4	5	5	2	3	4	5	4	4	2	5	3	4	2	4	5	5	4	4	5	5	4	5	4	2	5	4	2	2	4	5	2	4	3	4
selidba	I	4565	5	3	3	3	4	5	5	1	5	3	4	2	5	3	4	3	4	2	4	2	4	4	5	3	5	4	4	3	2	2	4	4	4	3	4	3	4	3	4	3	5	4	4	3	4	3	4	3	5	3	5	3	5	2	4	3	3	2	5	3
klicati	G	3290	3	2	4	1	2	3	1	1	5	3	3	1	2	2	4	2	4	1	3	5	4	3	3	4	4	3	2	2	2	2	4	4	4	3	5	2	4	2	4	3	4	3	4	2	5	3	3	2	5	2	5	1	4	1	4	4	4	2	5	3
svijet	I	880246	5	4	4	5	5	5	5	2	5	5	5	5	5	4	4	4	4	5	4	2	5	4	5	5	2	5	1	5	2	3	1	5	4	5	5	5	2	5	4	4	2	4	3	3	5	4	4	5	5	4	5	5	2	4	3	5	5	4	2	5
naštetiti	G	6846	3	3	4	4	3	3	1	1	5	4	3	2	4	3	2	2	3	3	3	2	3	3	4	3	4	4	3	2	2	0	2	5	3	4	4	4	3	4	2	4	5	3	3	4	4	4	3	3	5	2	5	4	3	4	4	4	2	2	2	2
uvoditi	G	32923	2	5	3	3	3	3	1	1	5	4	4	3	3	3	2	2	3	3	3	2	2	4	3	3	2	3	1	4	1	2	1	5	3	4	5	4	2	3	2	4	4	4	3	3	4	4	4	3	3	2	5	4	3	2	3	4	2	3	4	2
zid	I	135223	5	5	5	4	5	4	5	3	5	4	4	3	5	3	5	4	5	4	5	4	5	5	5	5	5	4	5	4	5	3	5	5	5	5	5	5	5	4	5	4	5	5	5	4	5	3	5	4	5	4	5	5	5	3	5	5	5	4	5	5
pješački	P	16505	3	4	5	4	4	4	3	1	5	4	5	2	5	3	4	4	5	3	4	5	3	4	4	4	5	3	5	5	3	3	4	5	4	5	5	5	4	4	4	4	5	4	3	3	4	4	4	4	5	2	5	5	4	1	4	5	2	3	4	5
zakonodavan	P	9423	1	2	3	3	2	2	3	1	3	3	3	3	3	2	2	2	2	1	3	3	1	2	2	3	3	3	1	2	1	3	3	4	1	2	5	2	3	2	2	2	4	4	2	2	2	3	3	3	3	2	5	1	2	1	5	2	1	2	2	1
progledati	G	5295	4	2	4	4	3	3	1	2	5	3	4	4	5	2	4	2	4	2	3	2	4	3	3	5	3	4	4	3	2	2	4	4	4	3	4	3	4	4	2	3	5	4	3	2	4	2	3	3	5	2	5	4	1	1	4	2	3	3	4	3
zagrebati	G	6830	4	2	5	4	4	2	5	2	5	3	3	2	5	3	3	2	5	2	3	2	4	3	4	4	4	3	5	4	4	3	4	4	5	4	4	3	4	4	4	3	5	4	4	3	5	2	5	3	5	2	5	3	5	3	4	2	5	3	5	3
morbidan	P	3061	1	2	1	4	2	3	1	2	5	4	4	3	2	4	3	1	1	3	1	3	1	2	2	3	2	4	3	3	1	2	1	4	2	3	1	2	2	4	2	2	4	4	2	2	1	3	3	4	3	1	5	2	2	2	4	4	2	2	1	1
riješen	P	7491	1	3	2	3	2	4	3	3	5	5	3	3	5	4	3	2	3	4	3	3	3	4	3	3	1	4	5	5	2	3	1	5	3	5	3	4	3	5	4	4	5	4	3	2	3	4	5	5	4	3	5	4	2	3	4	4	3	4	3	4
čest	P	90369	2	5	2	4	3	3	3	4	5	4	5	5	2	5	3	3	2	5	4	4	2	5	3	4	3	4	3	5	2	3	1	5	3	4	2	5	2	5	2	4	5	5	5	5	3	4	4	5	5	4	5	5	4	4	3	5	2	4	2	4
preskup	P	13822	5	5	3	3	4	4	5	4	4	5	5	4	3	4	2	4	3	3	4	4	1	5	4	5	3	5	4	5	2	2	2	5	3	4	4	4	2	5	4	4	5	4	4	3	4	4	5	4	5	2	5	3	5	4	4	5	2	3	2	3
sukladan	P	4953	1	3	1	2	3	3	3	1	4	3	3	3	2	2	2	1	2	1	2	2	2	3	3	4	2	4	1	4	1	2	1	5	2	3	2	2	4	4	2	4	5	3	2	4	2	3	4	3	5	2	5	2	4	3	4	4	2	3	2	1
pravo	I	719350	1	5	4	2	2	2	1	4	4	3	2	1	2	3	2	3	1	3	3	4	1	4	2	4	4	4	2	2	1	3	1	5	1	4	2	3	2	4	2	4	3	5	1	4	1	4	3	4	3	4	1	4	2	3	2	5	1	5	2	3
uznemiravati	G	3922	4	3	3	4	4	4	4	3	5	4	3	3	3	4	2	2	1	3	2	3	2	3	3	4	2	5	3	4	2	2	1	5	4	3	4	4	2	4	3	4	5	4	3	4	5	3	3	4	5	3	5	4	4	4	4	4	3	3	2	1
hrana	I	257642	5	5	5	5	5	5	5	5	5	4	5	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
vodni	P	11819	2	1	5	5	3	3	1	1	4	3	4	2	3	3	4	2	3	2	3	1	3	1	2	3	4	4	2	1	1	2	3	4	4	3	5	2	3	2	4	4	4	3	3	1	3	2	5	4	4	1	5	4	3	1	3	2	2	1	3	1
odjuriti	G	3522	3	2	3	2	3	4	5	3	5	3	4	3	5	2	3	2	5	2	3	2	4	3	3	4	4	4	3	4	2	2	4	5	5	4	5	4	4	4	4	4	5	4	4	3	5	3	5	5	5	2	5	3	4	3	4	3	3	3	4	4
reforma	I	61139	2	5	2	5	2	2	4	1	4	4	4	3	5	2	2	3	1	2	3	3	1	3	3	3	1	5	3	3	1	3	1	4	3	4	4	3	2	2	4	4	5	4	2	3	2	2	3	4	5	2	5	2	4	2	5	3	2	4	3	3
nedostupan	P	8612	2	3	2	2	5	4	4	2	5	4	3	3	5	4	3	3	3	3	3	4	2	2	4	4	2	4	4	5	1	3	2	5	2	4	3	3	2	4	2	5	3	4	2	5	2	3	4	4	4	3	5	4	4	4	4	3	2	3	2	4
gumen	P	10877	5	3	4	4	4	3	4	1	5	2	5	4	5	3	4	3	5	3	5	4	5	4	5	5	5	3	5	4	3	3	4	5	5	4	5	3	5	3	5	4	4	4	5	3	5	2	5	3	5	2	5	4	5	2	4	4	5	3	5	3
